dimension_key,dimension_table,fact_table,fact_column,cardinality,cross_filter
coordinaciones.id,coordinaciones,asignaciones_licenciamiento,coordinacion_id,many-to-one,single
aplicativos_licencia.id,aplicativos_licencia,asignaciones_licenciamiento,aplicativo_id,many-to-one,single
coordinaciones.id,coordinaciones,bitacora_equipo_portatil,departamento_id,many-to-one,single
personal_ti.id,personal_ti,bitacora_equipo_portatil,personal_ti_id,many-to-one,single
personal_hospital.numero_empleado,personal_hospital,bitacora_equipo_portatil,numero_empleado,many-to-one,single
personal_ti.id,personal_ti,bitacora_omision_reportes,personal_ti_id,many-to-one,single
coordinaciones.id,coordinaciones,control_acceso_tarjetas,coordinacion_id,many-to-one,single
personal_hospital.id,personal_hospital,control_acceso_tarjetas,personal_hospital_id,many-to-one,single
control_acceso_tarjetas.id,control_acceso_tarjetas,control_acceso_tarjeta_puertas,control_acceso_tarjeta_id,many-to-one,single
control_acceso_puertas.id,control_acceso_puertas,control_acceso_tarjeta_puertas,puerta_id,many-to-one,single
coordinaciones.id,coordinaciones,cuentas_usuario,coordinacion_id,many-to-one,single
puestos_cargo.id,puestos_cargo,cuentas_usuario,puesto_id,many-to-one,single
perfiles_sistema.id,perfiles_sistema,cuentas_usuario,perfil_id,many-to-one,single
coordinaciones.id,coordinaciones,entregas_suministro,coordinacion_id,many-to-one,single
personal_ti.id,personal_ti,entregas_suministro,tecnico_personal_ti_id,many-to-one,single
entregas_suministro.id,entregas_suministro,entregas_suministro_consumos,entrega_id,many-to-one,single
ingresos_suministro.id,ingresos_suministro,entregas_suministro_consumos,ingreso_id,many-to-one,single
grupos_permisos.id,grupos_permisos,grupo_permisos_detalle,grupo_id,many-to-one,single
coordinaciones.id,coordinaciones,historico_reubicaciones_equipos,coordinacion_origen_id,many-to-one,single
coordinaciones.id,coordinaciones,historico_reubicaciones_equipos,coordinacion_destino_id,many-to-one,single
pisos_reubicacion.id,pisos_reubicacion,historico_reubicaciones_equipos,piso_anterior_id,many-to-one,single
pisos_reubicacion.id,pisos_reubicacion,historico_reubicaciones_equipos,piso_nuevo_id,many-to-one,single
personal_ti.id,personal_ti,historico_reubicaciones_equipos,responsable_personal_ti_id,many-to-one,single
incidencias_control_acceso.id,incidencias_control_acceso,incidencias_acceso_escalaciones,incidencia_id,many-to-one,single
incidencias_control_acceso.id,incidencias_control_acceso,incidencias_acceso_notas_informativas,incidencia_id,many-to-one,single
control_acceso_paneles.id,control_acceso_paneles,incidencias_control_acceso,panel_id,many-to-one,single
control_acceso_idfs.id,control_acceso_idfs,incidencias_control_acceso,idf_id,many-to-one,single
control_acceso_pisos.id,control_acceso_pisos,incidencias_control_acceso,piso_id,many-to-one,single
incidencias_control_acceso.id,incidencias_control_acceso,incidencias_control_acceso_puertas,incidencia_id,many-to-one,single
control_acceso_puertas.id,control_acceso_puertas,incidencias_control_acceso_puertas,puerta_id,many-to-one,single
catalogo_suministros.id,catalogo_suministros,ingresos_suministro,modelo_marca_id,many-to-one,single
personal_ti.id,personal_ti,ingresos_suministro,quien_recibe_personal_ti_id,many-to-one,single
personal_ti.id,personal_ti,minutas_circulares,elaboro_id,many-to-one,single
coordinaciones.id,coordinaciones,minutas_circulares,departamento_id,many-to-one,single
monitor_sites.id,monitor_sites,monitor_notifications,site_id,many-to-one,single
personal_ti.id,personal_ti,notas_informativas,elaboro_id,many-to-one,single
coordinaciones.id,coordinaciones,notas_informativas,departamento_id,many-to-one,single
coordinaciones.id,coordinaciones,oficios_realizados,departamento_id,many-to-one,single
personal_ti.id,personal_ti,oficios_realizados,elaborado_por_id,many-to-one,single
coordinaciones.id,coordinaciones,oficios_recibidos,departamento_id,many-to-one,single
personal_ti.id,personal_ti,oficios_recibidos,atendido_por_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,usuario_grupo,usuario_id,many-to-one,single
grupos_permisos.id,grupos_permisos,usuario_grupo,grupo_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,usuario_modulos,usuario_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,usuario_notas_exclusiones,usuario_id,many-to-one,single
personal_hospital.id,personal_hospital,usuario_notas_exclusiones,persona_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,usuario_minutas_exclusiones,usuario_id,many-to-one,single
personal_hospital.id,personal_hospital,usuario_minutas_exclusiones,persona_id,many-to-one,single
personal_ti.id,personal_ti,usuarios_sistema,personal_ti_id,many-to-one,single
personal_ti.id,personal_ti,vacaciones_incidencias,personal_ti_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,vacaciones_incidencias,registrado_por_id,many-to-one,single
vacaciones_incidencias.id,vacaciones_incidencias,vacaciones_incidencias_fechas,vacaciones_incidencia_id,many-to-one,single
usuarios_sistema.id,usuarios_sistema,audit_log,usuario_id,many-to-one,single
