id,tipo_equipo,identificador_equipo,numero_ticket_oficio,ubicacion_anterior,piso_anterior_id,piso_anterior_nombre,responsable_personal_ti_id,responsable_nombre,coordinacion_origen_id,coordinacion_origen_nombre,fecha_hora_movimiento,nueva_ubicacion,piso_nuevo_id,piso_nuevo_nombre,coordinacion_destino_id,coordinacion_destino_nombre,fecha_hora_reubicacion,estatus,registrado_por_id,created_at,updated_at
1,COMPUTO,EQ-DEMO-0001,EJ-2026-0001,dato-sintetico,6,dato-sintetico,2,Persona Ejemplo 01,2,Subdirección Médica,2026-08-25,dato-sintetico,1,dato-sintetico,4,Dirección,2026-02-15,Entregado,5,2026-05-05T12:38:00Z,2026-02-25T13:59:00Z
2,IMPRESION,EQ-DEMO-0002,EJ-2026-0002,dato-sintetico,3,dato-sintetico,1,Persona Ejemplo 02,8,Coordinación de Informática,2026-08-28,dato-sintetico,7,dato-sintetico,3,Coordinación de Mantenimiento,2026-07-04,Entregado,1,2026-07-28T15:24:00Z,2026-05-27T13:30:00Z
3,TELEFONIA,EQ-DEMO-0003,EJ-2026-0003,dato-sintetico,4,dato-sintetico,1,Persona Ejemplo 03,1,Coordinación de Enfermería,2026-02-27,dato-sintetico,3,dato-sintetico,1,Coordinación de Enfermería,2026-08-23,Pendiente,5,2026-08-16T15:30:00Z,2026-04-27T12:56:00Z
4,COMPUTO,EQ-DEMO-0004,EJ-2026-0004,dato-sintetico,7,dato-sintetico,3,Persona Ejemplo 04,8,Coordinación de Recursos Humanos,2026-01-17,dato-sintetico,4,dato-sintetico,4,Coordinación de Informática,2026-06-15,Pendiente,3,2026-07-28T18:39:00Z,2026-04-01T18:55:00Z
5,IMPRESION,EQ-DEMO-0005,EJ-2026-0005,dato-sintetico,1,dato-sintetico,8,Persona Ejemplo 05,3,Coordinación de Informática,2026-08-31,dato-sintetico,3,dato-sintetico,7,Coordinación de Mantenimiento,2026-03-28,Entregado,2,2026-04-27T11:30:00Z,2026-04-30T14:48:00Z
6,TELEFONIA,EQ-DEMO-0006,EJ-2026-0006,dato-sintetico,8,dato-sintetico,6,Persona Ejemplo 06,3,Coordinación de Enfermería,2026-07-01,dato-sintetico,4,dato-sintetico,7,Subdirección Médica,2026-03-23,Pendiente,7,2026-02-14T17:11:00Z,2026-01-24T10:33:00Z
7,COMPUTO,EQ-DEMO-0007,EJ-2026-0007,dato-sintetico,5,dato-sintetico,2,Persona Ejemplo 07,4,Coordinación de Informática,2026-07-26,dato-sintetico,7,dato-sintetico,3,Coordinación de Enseñanza,2026-02-02,Pendiente,6,2026-01-26T11:42:00Z,2026-05-02T11:42:00Z
8,IMPRESION,EQ-DEMO-0008,EJ-2026-0008,dato-sintetico,5,dato-sintetico,7,Persona Ejemplo 08,2,Subdirección Administrativa,2026-01-22,dato-sintetico,1,dato-sintetico,3,Coordinación de Informática,2026-05-04,Entregado,6,2026-03-11T16:05:00Z,2026-01-27T09:43:00Z
9,TELEFONIA,EQ-DEMO-0009,EJ-2026-0009,dato-sintetico,2,dato-sintetico,1,Persona Ejemplo 09,1,Coordinación de Informática,2026-01-26,dato-sintetico,5,dato-sintetico,4,Coordinación de Recursos Humanos,2026-08-06,Pendiente,7,2026-07-14T18:22:00Z,2026-04-26T11:45:00Z
10,COMPUTO,EQ-DEMO-0010,EJ-2026-0010,dato-sintetico,2,dato-sintetico,5,Persona Ejemplo 10,3,Coordinación de Mantenimiento,2026-01-04,dato-sintetico,7,dato-sintetico,5,Subdirección Administrativa,2026-06-06,Pendiente,3,2026-03-16T12:40:00Z,2026-07-27T11:14:00Z
11,IMPRESION,EQ-DEMO-0011,EJ-2026-0011,dato-sintetico,1,dato-sintetico,6,Persona Ejemplo 11,6,Coordinación de Informática,2026-05-25,dato-sintetico,2,dato-sintetico,3,Coordinación de Enfermería,2026-03-27,Pendiente,7,2026-07-07T17:04:00Z,2026-07-31T11:36:00Z
12,TELEFONIA,EQ-DEMO-0012,EJ-2026-0012,dato-sintetico,1,dato-sintetico,5,Persona Ejemplo 12,7,Coordinación de Informática,2026-03-08,dato-sintetico,6,dato-sintetico,7,Coordinación de Enfermería,2026-05-02,Entregado,6,2026-02-09T17:20:00Z,2026-04-16T16:47:00Z
13,COMPUTO,EQ-DEMO-0013,EJ-2026-0013,dato-sintetico,1,dato-sintetico,5,Persona Ejemplo 13,2,Dirección,2026-01-12,dato-sintetico,8,dato-sintetico,7,Coordinación de Enfermería,2026-03-18,Entregado,5,2026-06-18T07:53:00Z,2026-07-30T15:26:00Z
14,IMPRESION,EQ-DEMO-0014,EJ-2026-0014,dato-sintetico,1,dato-sintetico,1,Persona Ejemplo 14,3,Coordinación de Mantenimiento,2026-03-13,dato-sintetico,4,dato-sintetico,8,Dirección,2026-05-08,Pendiente,4,2026-07-06T08:35:00Z,2026-08-01T17:48:00Z
15,TELEFONIA,EQ-DEMO-0015,EJ-2026-0015,dato-sintetico,6,dato-sintetico,4,Persona Ejemplo 15,2,Coordinación de Enfermería,2026-03-04,dato-sintetico,8,dato-sintetico,5,Dirección,2026-02-05,Pendiente,2,2026-07-11T12:30:00Z,2026-04-18T10:23:00Z
