id,fecha,nombre,departamento,elaboro_id,departamento_id,asunto,observaciones,registrado_por_id,created_at,updated_at,pdf_nombre_original,pdf_nombre_archivo,pdf_ruta,pdf_mime,pdf_tamano,pdf_subido_at
1,2026-03-25,Registro de ejemplo 1,Coordinación de Recursos Humanos,8,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,8,2026-03-26T18:05:00Z,2026-05-16T17:52:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,66242,2026-05-30T08:19:00Z
2,2026-02-21,Registro de ejemplo 2,Coordinación de Recursos Humanos,4,8,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,1,2026-01-29T13:26:00Z,2026-08-31T16:29:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,95959,2026-06-05T14:53:00Z
3,2026-03-11,Registro de ejemplo 3,Dirección,7,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,6,2026-04-15T17:54:00Z,2026-03-17T16:37:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,99161,2026-01-02T17:36:00Z
4,2026-04-16,Registro de ejemplo 4,Coordinación de Informática,1,7,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-06-25T11:15:00Z,2026-02-18T08:00:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,1393,2026-08-08T17:55:00Z
5,2026-06-05,Registro de ejemplo 5,Dirección,7,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,6,2026-03-23T11:28:00Z,2026-03-24T13:53:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,80451,2026-04-11T17:41:00Z
6,2026-01-21,Registro de ejemplo 6,Subdirección Administrativa,4,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-01-17T08:03:00Z,2026-06-14T15:24:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,94365,2026-08-11T17:38:00Z
7,2026-06-15,Registro de ejemplo 7,Subdirección Administrativa,3,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-06-27T13:21:00Z,2026-04-22T18:55:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,69949,2026-05-09T09:03:00Z
8,2026-02-07,Registro de ejemplo 8,Coordinación de Enfermería,3,2,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,6,2026-05-09T08:29:00Z,2026-08-05T14:55:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,12583,2026-07-06T12:29:00Z
9,2026-07-30,Registro de ejemplo 9,Coordinación de Enseñanza,6,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,1,2026-04-02T09:31:00Z,2026-02-16T11:49:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,51838,2026-03-25T12:47:00Z
10,2026-07-31,Registro de ejemplo 10,Dirección,6,4,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-01-21T10:42:00Z,2026-05-21T10:35:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,2686,2026-02-04T17:14:00Z
11,2026-02-11,Registro de ejemplo 11,Coordinación de Mantenimiento,1,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-02-05T12:30:00Z,2026-04-22T17:12:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,97242,2026-02-24T08:51:00Z
12,2026-06-13,Registro de ejemplo 12,Subdirección Médica,5,7,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-04-29T17:35:00Z,2026-08-26T16:16:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,19510,2026-02-11T16:41:00Z
13,2026-01-25,Registro de ejemplo 13,Subdirección Administrativa,3,2,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-08-23T10:36:00Z,2026-08-11T17:15:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,32955,2026-07-04T07:36:00Z
14,2026-08-24,Registro de ejemplo 14,Coordinación de Mantenimiento,1,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-05-26T15:49:00Z,2026-06-11T09:05:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,70436,2026-06-08T13:07:00Z
15,2026-05-24,Registro de ejemplo 15,Coordinación de Enseñanza,6,5,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,6,2026-06-18T12:22:00Z,2026-03-05T15:17:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,10225,2026-08-02T08:07:00Z
16,2026-03-04,Registro de ejemplo 16,Dirección,1,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-01-15T15:51:00Z,2026-01-05T15:52:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,43856,2026-06-02T15:41:00Z
17,2026-05-27,Registro de ejemplo 17,Subdirección Administrativa,6,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,1,2026-08-23T15:38:00Z,2026-02-06T09:55:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,56575,2026-06-12T15:37:00Z
18,2026-08-26,Registro de ejemplo 18,Coordinación de Enseñanza,6,7,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,4,2026-01-23T11:07:00Z,2026-03-23T14:48:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,92274,2026-05-24T17:06:00Z
19,2026-07-16,Registro de ejemplo 19,Coordinación de Enfermería,4,2,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-04-06T14:46:00Z,2026-05-11T09:41:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,16244,2026-04-04T16:15:00Z
20,2026-06-10,Registro de ejemplo 20,Dirección,3,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,5,2026-08-15T07:13:00Z,2026-04-23T15:35:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,99407,2026-02-19T14:16:00Z
21,2026-01-09,Registro de ejemplo 21,Dirección,5,7,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,7,2026-02-14T13:26:00Z,2026-06-11T12:55:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,59377,2026-01-15T10:56:00Z
22,2026-06-21,Registro de ejemplo 22,Coordinación de Recursos Humanos,3,5,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-04-01T09:38:00Z,2026-01-03T09:32:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,59133,2026-05-16T08:29:00Z
23,2026-04-01,Registro de ejemplo 23,Subdirección Médica,4,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,8,2026-03-22T11:56:00Z,2026-08-04T17:47:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,84343,2026-07-04T13:51:00Z
24,2026-05-04,Registro de ejemplo 24,Coordinación de Recursos Humanos,7,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,7,2026-07-14T16:31:00Z,2026-04-24T12:18:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,96522,2026-01-01T10:29:00Z
25,2026-05-02,Registro de ejemplo 25,Coordinación de Recursos Humanos,8,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,5,2026-08-12T18:29:00Z,2026-04-04T13:16:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,35460,2026-07-29T13:26:00Z
26,2026-03-18,Registro de ejemplo 26,Subdirección Administrativa,5,2,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,7,2026-04-09T16:39:00Z,2026-07-09T18:29:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,74541,2026-05-28T18:29:00Z
27,2026-06-03,Registro de ejemplo 27,Subdirección Administrativa,3,3,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,2,2026-08-24T14:25:00Z,2026-08-30T16:46:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,84104,2026-01-09T13:41:00Z
28,2026-08-30,Registro de ejemplo 28,Coordinación de Enseñanza,3,1,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,1,2026-06-24T09:33:00Z,2026-03-10T10:46:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,37411,2026-06-06T08:03:00Z
29,2026-05-28,Registro de ejemplo 29,Coordinación de Informática,5,6,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,7,2026-04-22T16:21:00Z,2026-02-17T08:07:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,45788,2026-01-04T14:42:00Z
30,2026-05-17,Registro de ejemplo 30,Dirección,1,8,Asunto de ejemplo para el registro de muestra,Dato de muestra sintético (no es información real).,3,2026-05-04T12:26:00Z,2026-04-14T17:02:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,18256,2026-07-09T14:00:00Z
