id,fecha_inicio,fecha_fin,numero_oficio,dirigido_a,departamento,departamento_id,asunto,entregado,cancelado,observacion,mes,elaborado_por_id,registrado_por_id,created_at,updated_at,pdf_nombre_original,pdf_nombre_archivo,pdf_ruta,pdf_mime,pdf_tamano,pdf_subido_at
1,2026-05-05,2026-08-03,EJ-2026-0001,dato-sintetico,Coordinación de Informática,6,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,4,3,2026-07-24T11:56:00Z,2026-08-31T17:57:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,26473,2026-08-07T17:52:00Z
2,2026-07-10,2026-08-11,EJ-2026-0002,dato-sintetico,Coordinación de Recursos Humanos,6,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,6,1,2026-06-10T08:02:00Z,2026-05-15T18:26:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,81566,2026-08-31T18:13:00Z
3,2026-08-09,2026-01-17,EJ-2026-0003,dato-sintetico,Coordinación de Enseñanza,6,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,7,7,2026-05-10T07:40:00Z,2026-08-09T10:49:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,16196,2026-08-26T17:05:00Z
4,2026-06-07,2026-04-11,EJ-2026-0004,dato-sintetico,Dirección,5,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,7,3,2026-05-11T07:21:00Z,2026-04-18T12:31:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,75083,2026-03-11T17:03:00Z
5,2026-01-23,2026-05-02,EJ-2026-0005,dato-sintetico,Coordinación de Recursos Humanos,8,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,5,6,2026-01-23T13:48:00Z,2026-01-31T13:51:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,52896,2026-02-27T10:52:00Z
6,2026-08-14,2026-06-26,EJ-2026-0006,dato-sintetico,Coordinación de Informática,7,Asunto de ejemplo para el registro de muestra,true,true,Dato de muestra sintético (no es información real).,dato-sintetico,4,2,2026-02-16T07:48:00Z,2026-06-02T14:41:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,45470,2026-05-12T15:25:00Z
7,2026-03-15,2026-01-20,EJ-2026-0007,dato-sintetico,Coordinación de Enfermería,2,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,1,1,2026-05-28T13:20:00Z,2026-04-05T11:50:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,26865,2026-02-07T16:24:00Z
8,2026-03-23,2026-01-14,EJ-2026-0008,dato-sintetico,Subdirección Administrativa,2,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,1,1,2026-04-17T16:43:00Z,2026-05-26T17:09:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,72025,2026-01-22T10:49:00Z
9,2026-01-17,2026-06-14,EJ-2026-0009,dato-sintetico,Coordinación de Recursos Humanos,4,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,2,7,2026-07-15T14:50:00Z,2026-01-02T14:22:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,58825,2026-04-25T14:57:00Z
10,2026-06-04,2026-03-05,EJ-2026-0010,dato-sintetico,Coordinación de Enseñanza,5,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,8,3,2026-07-21T14:53:00Z,2026-04-24T12:39:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,61039,2026-07-20T17:56:00Z
