id,personal_ti_id,tipo,estado_aprobacion,fecha_inicio,fecha_fin,nota,justificacion_declinado,registrado_por_id,resuelto_por_id,resuelto_at,created_at,updated_at
1,4,vacaciones,Pendiente,2026-01-11,2026-04-23,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,8,3,2026-06-22T12:23:00Z,2026-05-09T11:27:00Z,2026-04-01T08:21:00Z
2,7,vacaciones,Entregado,2026-04-22,2026-02-23,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,6,6,2026-06-30T14:14:00Z,2026-06-03T07:37:00Z,2026-02-27T10:42:00Z
3,1,vacaciones,Entregado,2026-08-23,2026-01-26,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,7,8,2026-07-10T18:09:00Z,2026-07-22T13:01:00Z,2026-02-25T18:12:00Z
4,7,vacaciones,Entregado,2026-06-04,2026-05-27,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,6,6,2026-03-18T09:53:00Z,2026-07-06T14:28:00Z,2026-02-22T16:08:00Z
5,6,incidencia,Pendiente,2026-08-08,2026-01-05,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,8,7,2026-01-21T10:58:00Z,2026-05-08T18:27:00Z,2026-04-04T15:53:00Z
6,6,incidencia,Pendiente,2026-07-21,2026-03-31,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,8,2,2026-01-28T17:19:00Z,2026-02-27T11:06:00Z,2026-04-10T13:01:00Z
7,8,vacaciones,Pendiente,2026-03-23,2026-05-31,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,8,7,2026-06-11T13:22:00Z,2026-06-15T10:50:00Z,2026-05-18T15:25:00Z
8,7,vacaciones,Entregado,2026-06-13,2026-03-07,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,7,5,2026-05-01T16:38:00Z,2026-02-14T08:42:00Z,2026-03-18T15:56:00Z
9,6,vacaciones,Pendiente,2026-01-27,2026-04-15,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,2,2,2026-04-07T15:29:00Z,2026-06-30T15:36:00Z,2026-03-12T07:36:00Z
10,3,vacaciones,Entregado,2026-05-11,2026-06-29,Dato de muestra sintético (no es información real).,Texto sintético de ejemplo.,1,1,2026-02-25T18:35:00Z,2026-01-12T10:12:00Z,2026-03-25T18:49:00Z
